,accuracy,precision,recall,specificity,f1_score,cohens_kappa,roc_auc,pr_auc
decision_tree_baseline,0.7233333333333334,0.3816631130063966,0.4046721929163527,0.8138240958698909,0.3928310168251646,0.21388003714653614,0.6095279347712678,0.4589251149708047
random_forest,0.8118333333333333,0.633423180592992,0.3541823662396383,0.941793280547828,0.4543257612373127,0.35144338792034113,0.7517763463762952,0.5247244574365608
random_forest_rs,0.8073333333333333,0.6507936507936508,0.27807083647324793,0.9576289321634924,0.38965153115100315,0.29649336019965966,0.7694148317282612,0.5356186514598449
gradient_boosted_trees,0.8143333333333334,0.6591928251121076,0.33232856066315,0.9512090734003852,0.44188376753507014,0.34473633284100336,0.775486121671563,0.5474742234717066
gradient_boosted_trees_rs,0.8141666666666667,0.6452054794520548,0.3549359457422758,0.9445752193451744,0.4579484686436558,0.3570139304037261,0.7700718150138903,0.5417671260771912
xgboost,0.8096666666666666,0.6234979973297731,0.3519216277317257,0.9396533276267922,0.44990366088631983,0.3454433322245737,0.7613281641187466,0.5202382738922376
xgboost_rs,0.8075,0.6116883116883117,0.3549359457422758,0.9360154076610314,0.4492131616595136,0.342406167148396,0.7578919028664566,0.521648792264992
light_gbm,0.8191666666666667,0.6657534246575343,0.36623963828183875,0.947785148726728,0.47253281477880416,0.37431400402515047,0.770552457793178,0.536605592179085
light_gbm_rs,0.8036666666666666,0.5905224787363305,0.36623963828183875,0.9278835865610957,0.45209302325581396,0.3404106363730872,0.7439909976841098,0.5043046411181652
